岗位ID,工作经历数量,工作职位,公司名称,专业,学校,学校层次,社会经历数量,职位名,组织名,项目数量,项目名称,技能数量,荣誉数量,期望职位
519,2,[3042 1375],[3260 980],[1358 1357],[988 1245],[0 24],4,[232 411 798 590],[2163 2166 2725 2739],8,[15331 14233 7365 10652 9890 15166 1016 5610],0,26,[]
418,0,[],[],[1258],[514],[3],0,[],[],1,[10253],34,3,[758]
516,0,[],[],[1255],[750],[13 11],0,[],[],4,[2135 17254 5859 8651],6,8,[]
518,1,[1015],[2468],[1357 1252 1252],[679 677 263],[12 27 24],0,[],[],5,[9900 4529 18329 4458 4403],26,5,[]
518,1,[96],[703],[440 35],[1199 321],[7 24],1,[449],[783],2,[10940 316],1,9,[]
517,0,[],[],[263],[380],[0],0,[],[],4,[11436 16178 4750 16280],8,6,[]
412,5,[777 0 0 0 2493],[1532 1699 1789 2762 1439],[685 1114],[1037 1037],[12 24],0,[],[],1,[13220],3,13,[]
516,1,[0],[4285],[881 1336],[427 427],[13 12 26 11],0,[],[],0,[],10,7,[]
342,1,[0],[4700],[1402 1315],[1119 1119],[13 12 26 11],1,[715],[2460],3,[8433 9217 9026],15,3,[277]
340,2,[1958 2559],[3572 4775],[1554 381],[1109 1109],[13 12 26 11],0,[],[],1,[4119],1,0,[346]
518,0,[],[],[1357 1357],[1075 544],[0 24],0,[],[],3,[16438 1435 4321],6,4,[424]
430,3,[3021 2969 2400],[3260 2241 2416],[389],[262],[0],1,[0],[3115],0,[],14,10,[]
328,0,[],[],[1357 1357],[679 679],[12 24],0,[],[],1,[11386],53,8,[]
516,2,[0 0],[1563 3191],[356 389],[1025 1025],[13 12 26 11],0,[],[],3,[11677 17751 16171],0,8,[]
324,2,[1547 0],[719 5347],[1293 1293 93],[666 666 101],[13 12 26 12 21],0,[],[],4,[6687 16128 4093 16554],5,12,[]
328,1,[2687],[4814],[1287 751],[634 670],[0 26 11],4,[195 195 0 195],[658 1926 1428 2634],1,[18125],43,7,[]
418,2,[2597 1296],[1821 5079],[1358 294],[203 1373],[12 24],1,[434],[591],1,[9248],7,4,[]
519,1,[2451],[2452],[1255 1263],[492 295],[13 12 18],0,[],[],2,[7790 6720],14,8,[]
516,1,[2102],[1774],[1358 1357],[80 80],[7 21],0,[],[],2,[3953 4778],4,7,[]
517,0,[],[],[1350 0 1355],[213 213 213],[13 12 26 12 26 11],0,[],[],2,[967 14375],7,14,[]
516,1,[0],[4832],[1981 1254],[559 559],[8 5 13 12 23 5 13 11],0,[],[],2,[4554 3712],22,8,[]
335,0,[],[],[1734 1265],[631 784],[12 24],0,[],[],1,[17196],27,0,[]
340,1,[1910],[953],[1941 739],[151 549],[0 24],0,[],[],3,[18346 3776 3570],4,0,[]
412,4,[66 0 1003 239],[3370 799 784 4540],[569 569],[1109 1109],[13 12 26 11],2,[0 0],[1906 3118],1,[4432],5,4,[]
418,2,[308 308],[1821 2912],[1357 1357],[1155 1155],[7 21],1,[20],[2926],2,[528 6015],28,4,[]
328,1,[0],[1842],[1357 1355],[634 679],[0 24],0,[],[],5,[9415 17279 17499 1434 1569],13,1,[]
417,3,[0 0 1627],[3795 529 3795],[593 564],[139 721],[12 18],1,[0],[2070],0,[],0,7,[]
418,0,[],[],[1422 1681],[492 737],[13 12 24],0,[],[],2,[15791 17845],29,3,[731]
347,0,[],[],[],[],[],0,[],[],0,[],0,0,[]
331,0,[],[],[1108 302],[509 998],[12 24],0,[],[],3,[3706 417 9624],37,9,[]
519,1,[272],[1226],[260 1732],[382 1155],[8 5 13 12 21],0,[],[],4,[469 455 458 457],4,10,[]
326,0,[],[],[1265],[213],[13 11],2,[211 845],[1821 1469],3,[11177 3381 9887],4,9,[]
518,0,[],[],[1538 1358],[1063 1314],[4 26 11],0,[],[],3,[1740 7033 6779],3,13,[]
430,2,[2960 2020],[2268 5041],[397 379],[726 730],[13 12 24],0,[],[],3,[2497 712 10727],5,12,[]
412,3,[633 1003 1802],[67 3740 2834],[572 572],[966 250],[12 23 5 13 11],2,[0 0],[686 679],0,[],7,9,[]
331,2,[52 52],[3554 830],[1845 1305],[21 21],[13 12 26 11],0,[],[],2,[581 12284],31,7,[]
418,0,[],[],[0 1357],[1321 1321],[12 24],0,[],[],4,[7171 9631 13853 9853],22,9,[]
328,0,[],[],[1538 1255],[679 679],[12 24],0,[],[],2,[17352 7896],18,4,[]
519,3,[0 0 0],[218 3562 1403],[183 1336],[250 321],[8 5 13 12 24],0,[],[],3,[9768 6607 3742],0,8,[]
519,0,[],[],[0 1265],[233 442],[4 24],0,[],[],5,[17542 8492 8520 9400 9004],5,6,[]
519,0,[],[],[780 780 903 903],[383 382 726 382],[0 23 5 13 12 26 12 23 5 13 11],0,[],[],3,[9423 6904 5788],6,12,[]
517,0,[],[],[1357 294],[1314 448],[13 12 18],0,[],[],0,[],6,10,[88]
328,0,[],[],[1350 302],[80 80],[7 21],0,[],[],3,[8025 7169 1243],9,3,[]
412,1,[0],[2658],[1858 1126],[427 784],[13 12 24],1,[826],[1742],1,[1351],2,7,[118]
335,0,[],[],[1336 1336 1785],[518 519 518],[12 27 24],0,[],[],4,[9959 15184 9193 4084],25,8,[]
516,1,[404],[2671],[1255 1355],[1063 514],[4 18],0,[],[],0,[],18,21,[]
418,0,[],[],[419 294 419],[1125 1125 1125],[4 19 18],0,[],[],1,[11568],53,8,[752 755]
519,0,[],[],[0 1287],[1119 1038],[13 12 24],0,[],[],3,[14042 5815 7725],15,13,[]
516,1,[0],[1437],[1264 1248],[814 439],[0 26 11],0,[],[],4,[427 7813 2923 3891],9,6,[]
331,0,[],[],[1102 1102 302],[1302 1301 1301],[0 25 24],0,[],[],3,[9092 4392 10596],21,9,[]
519,1,[1497],[1838],[1937 0],[1342 1342],[7 21],0,[],[],3,[14425 12512 5948],9,7,[]
328,0,[],[],[1255 1336],[1119 730],[13 12 24],0,[],[],2,[17370 12985],28,15,[]
418,1,[0],[2828],[1347 970],[99 250],[7 23 5 13 11],0,[],[],3,[15996 1771 15982],5,0,[]
516,1,[1541],[1875],[1350 1278],[250 1314],[8 5 13 12 26 11],0,[],[],2,[7729 6103],9,7,[]
326,2,[1418 3031],[3070 4978],[258 1263],[978 978],[8 5 13 12 23 5 13 11],0,[],[],2,[4856 16349],8,2,[]
331,0,[],[],[1110 415],[509 302],[12 18],0,[],[],1,[12781],37,9,[]
517,0,[],[],[1255 1248],[1149 1344],[12 18],0,[],[],3,[10513 5779 5778],36,16,[298]
340,0,[],[],[290 290],[1046 737],[5 13 12 24],2,[407 0],[1682 1679],3,[1769 14605 11988],13,3,[]
328,0,[],[],[1336 1336],[978 978],[8 5 13 12 23 5 13 11],0,[],[],2,[8856 6340],33,5,[]
519,1,[2449],[4886],[0 1358],[1342 475],[7 24],0,[],[],3,[12787 678 3675],5,15,[]
519,1,[449],[2080],[881 1336],[21 21],[13 12 26 11],0,[],[],2,[9585 14853],0,10,[]
