,岗位ID,工作经历数量,工作职位,公司名称,专业,学校,学校层次,社会经历数量,职位名,组织名,项目数量,项目名称,技能数量,荣誉数量,期望职位,工作职位1,公司名称1,专业1,学校1,学校层次1,职位名1,组织名1,项目名称1
0,519,2,2505,2660,1297,862,12,4,194,1834,8,10956,0,26,0,1107,804,1296,1091,10,346,1836,10160
1,418,0,0,0,1198,445,3,0,0,0,1,7280,34,3,747,0,0,0,0,0,0,0,0
2,516,0,0,0,1195,655,11,0,0,0,4,1516,6,8,0,0,0,0,0,0,0,0,12294
3,518,1,827,2004,1296,590,10,0,0,0,5,7036,26,5,0,0,0,1192,589,12,0,0,3212
4,518,1,89,577,419,1049,8,1,376,659,2,7775,1,9,0,0,0,35,276,10,0,0,225
5,517,0,0,0,248,333,12,0,0,0,4,8132,8,6,0,0,0,0,0,0,0,0,11565
6,412,5,635,1254,651,906,10,0,0,0,1,9429,3,13,0,1,1384,1061,906,10,0,0,0
7,516,1,1,3500,834,365,11,0,0,0,0,0,10,7,0,0,0,1275,365,11,0,0,0
8,342,1,1,3814,1337,980,11,1,621,2095,3,5972,15,3,266,0,0,1254,980,11,0,0,6552
9,340,2,1575,2914,1480,970,11,0,0,0,1,2921,1,0,334,2073,3873,364,970,11,0,0,0
10,518,0,0,0,1296,943,12,0,0,0,3,11729,6,4,417,0,0,1296,474,10,0,0,1024
11,430,3,2485,2660,372,226,12,1,1,2649,0,0,14,10,0,2429,1815,0,0,0,0,0,0
12,328,0,0,0,1296,590,10,0,0,0,1,8100,53,8,0,0,0,1296,590,10,0,0,0
13,516,2,1,1281,331,894,11,0,0,0,3,8308,0,8,0,1,2602,372,894,11,0,0,12667
14,324,2,1246,590,1232,577,11,0,0,0,4,4754,5,12,0,1,4337,1232,577,11,0,0,11528
15,328,1,2191,3907,1226,550,12,4,161,558,1,12924,43,7,0,0,0,714,581,11,161,1625,0
16,418,2,2102,1456,1297,171,10,1,367,501,1,6578,7,4,0,1034,4124,280,1211,10,0,0,0
17,519,1,1989,1981,1195,425,11,0,0,0,2,5534,14,8,0,0,0,1203,251,3,0,0,4776
18,516,1,1693,1433,1297,69,8,0,0,0,2,2819,4,7,0,0,0,1296,69,8,0,0,3385
19,517,0,0,0,1289,177,11,0,0,0,2,696,7,14,0,0,0,1,177,11,0,0,10260
20,516,1,1,3917,1871,482,9,0,0,0,2,3232,22,8,0,0,0,1194,482,9,0,0,2646
21,335,0,0,0,1642,547,10,0,0,0,1,12250,27,0,0,0,0,1205,680,10,0,0,0
22,340,1,1536,787,1833,125,12,0,0,0,3,13075,4,0,0,0,0,701,478,10,0,0,2690
23,412,4,63,2744,540,970,11,2,1,1608,1,3146,5,4,0,1,648,540,970,11,1,2652,0
24,418,2,249,1456,1296,1012,8,1,13,2487,2,378,28,4,0,249,2359,1296,1012,8,0,0,4279
25,328,1,1,1493,1296,550,12,0,0,0,5,6701,13,1,0,0,0,1294,590,10,0,0,12313
26,417,3,1,3093,558,115,10,1,1,1752,0,0,0,7,0,1,437,535,629,3,0,0,0
27,418,0,0,0,1348,425,11,0,0,0,2,11282,29,3,721,0,0,1593,644,10,0,0,12735
28,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,331,0,0,0,1056,441,10,0,0,0,3,2641,37,9,0,0,0,288,871,10,0,0,292
30,519,1,231,1002,250,327,9,0,0,0,4,327,4,10,0,0,0,1640,1012,8,0,0,318
31,326,0,0,0,1205,177,11,2,172,1536,3,7938,4,9,0,0,0,0,0,0,734,1246,2398
32,518,0,0,0,1457,919,3,0,0,0,3,1243,3,13,0,0,0,1297,1156,11,0,0,5004
33,430,2,2432,1836,380,630,11,0,0,0,3,1768,5,12,0,1631,4094,362,637,10,0,0,524
34,412,3,513,54,543,840,10,2,1,581,0,0,7,9,0,820,3046,543,212,9,1,576,0
35,331,2,51,2894,1741,12,11,0,0,0,2,426,31,7,0,51,682,1244,12,11,0,0,8766
36,418,0,0,0,1,1163,10,0,0,0,4,5101,22,9,0,0,0,1296,1163,10,0,0,6839
37,328,0,0,0,1457,590,10,0,0,0,2,12378,18,4,0,0,0,1195,590,10,0,0,5610
38,519,3,1,173,173,212,9,0,0,0,3,6950,0,8,0,1,2904,1275,276,10,0,0,4696
39,519,0,0,0,1,200,3,0,0,0,5,12512,5,6,0,0,0,1205,381,10,0,0,6021
40,519,0,0,0,743,335,12,0,0,0,3,6706,6,12,0,0,0,743,327,9,0,0,4911
41,517,0,0,0,1296,1156,11,0,0,0,0,0,6,10,67,0,0,280,387,3,0,0,0
42,328,0,0,0,1289,69,8,0,0,0,3,5697,9,3,0,0,0,288,69,8,0,0,5099
43,412,1,1,2158,1755,365,11,1,711,1473,1,964,2,7,117,0,0,1073,680,10,0,0,0
44,335,0,0,0,1275,447,10,0,0,0,4,7076,25,8,0,0,0,1275,451,12,0,0,10851
