岗位ID,工作经历数量,社会经历数量,项目数量,技能数量,荣誉数量
519,2,4,8,0,26
418,0,0,1,34,3
516,0,0,4,6,8
518,1,0,5,26,5
518,1,1,2,1,9
517,0,0,4,8,6
412,5,0,1,3,13
516,1,0,0,10,7
342,1,1,3,15,3
340,2,0,1,1,0
518,0,0,3,6,4
430,3,1,0,14,10
328,0,0,1,53,8
516,2,0,3,0,8
324,2,0,4,5,12
328,1,4,1,43,7
418,2,1,1,7,4
519,1,0,2,14,8
516,1,0,2,4,7
517,0,0,2,7,14
516,1,0,2,22,8
335,0,0,1,27,0
340,1,0,3,4,0
412,4,2,1,5,4
418,2,1,2,28,4
328,1,0,5,13,1
417,3,1,0,0,7
418,0,0,2,29,3
347,0,0,0,0,0
331,0,0,3,37,9
519,1,0,4,4,10
326,0,2,3,4,9
518,0,0,3,3,13
430,2,0,3,5,12
412,3,2,0,7,9
331,2,0,2,31,7
418,0,0,4,22,9
328,0,0,2,18,4
519,3,0,3,0,8
519,0,0,5,5,6
519,0,0,3,6,12
517,0,0,0,6,10
328,0,0,3,9,3
412,1,1,1,2,7
335,0,0,4,25,8
516,1,0,0,18,21
418,0,0,1,53,8
519,0,0,3,15,13
516,1,0,4,9,6
331,0,0,3,21,9
519,1,0,3,9,7
328,0,0,2,28,15
418,1,0,3,5,0
516,1,0,2,9,7
326,2,0,2,8,2
331,0,0,1,37,9
517,0,0,3,36,16
340,0,2,3,13,3
328,0,0,2,33,5
519,1,0,3,5,15
519,1,0,2,0,10
328,0,0,3,25,9
516,3,0,5,19,4
412,1,1,1,15,6
328,1,0,2,16,11
418,0,0,3,14,8
326,0,4,6,28,3
517,3,0,1,14,0
347,2,1,2,5,6
342,0,0,4,10,9
340,3,3,2,6,4
412,3,0,0,0,1
519,0,1,2,31,15
517,3,0,1,7,13
516,0,0,4,15,2
406,1,0,3,20,0
412,2,1,2,16,6
332,0,0,4,21,6
516,0,0,0,4,3
412,0,2,1,5,7
418,0,0,1,32,1
418,0,0,2,27,7
418,0,0,8,22,9
516,1,0,1,11,6
328,1,0,1,13,7
519,0,0,1,3,20
331,1,0,1,28,7
517,0,3,2,23,16
418,2,0,8,19,0
517,1,0,5,6,0
516,2,0,2,22,13
517,1,2,3,9,0
347,2,0,4,8,16
516,0,0,4,8,9
342,1,0,2,20,0
519,2,2,4,4,29
418,1,0,1,20,13
519,0,0,0,4,18
418,1,0,3,4,10
518,0,0,3,0,7
328,1,0,3,21,7
328,0,2,2,13,9
430,1,1,1,11,7
406,0,0,3,0,4
418,0,0,2,14,5
418,0,0,1,22,6
412,1,1,1,11,0
517,0,0,3,11,4
518,1,0,1,15,11
516,2,0,2,15,3
517,0,0,0,29,2
519,1,1,3,13,6
331,1,0,2,29,0
328,0,0,3,28,8
518,0,0,4,12,14
417,5,1,1,7,15
516,0,0,3,4,0
418,0,0,3,25,16
518,0,0,4,15,0
516,2,0,2,0,1
328,0,0,5,4,13
519,1,0,1,6,0
519,0,0,4,4,12
328,0,0,2,39,0
430,2,4,0,8,15
516,2,1,2,8,20
518,2,0,3,3,5
418,1,0,2,12,7
427,3,3,0,5,5
517,0,1,3,24,8
328,0,0,3,22,3
517,1,2,1,14,8
517,2,0,2,8,7
340,0,0,6,4,3
427,2,3,0,5,1
519,1,0,3,13,16
517,0,0,1,23,4
328,0,0,3,13,10
516,0,0,0,0,0
418,0,0,3,27,0
331,0,3,2,47,4
430,4,2,0,3,15
335,0,0,2,24,18
328,0,0,4,19,8
332,1,1,2,39,2
418,1,0,3,29,11
328,0,0,4,8,5
326,1,0,1,17,2
340,4,1,3,5,6
518,2,0,4,7,1
519,1,0,3,0,0
328,0,0,3,10,22
418,4,0,2,22,5
418,0,0,1,18,8
517,0,0,3,47,19
418,1,2,3,24,9
328,1,0,2,10,6
342,1,1,3,19,20
328,1,0,2,43,6
516,3,0,1,11,15
519,0,0,2,17,12
328,0,0,2,24,5
516,1,0,2,2,2
328,0,0,2,8,5
328,0,1,4,22,7
417,3,0,0,8,6
516,2,0,4,23,15
517,2,0,2,0,10
328,0,0,3,26,6
328,0,0,2,22,15
418,0,0,2,16,9
340,3,0,2,12,1
516,1,0,2,5,6
344,3,2,2,4,0
418,0,0,2,33,7
328,0,1,1,25,13
418,1,2,4,54,4
418,0,0,2,25,12
328,1,0,5,13,7
516,1,0,2,18,16
328,1,5,7,58,4
412,5,1,0,21,8
519,2,0,4,6,6
418,0,0,3,19,17
519,0,0,3,9,10
412,4,0,1,9,4
517,2,0,1,0,7
418,1,0,2,0,4
418,0,0,2,13,16
328,0,0,4,30,8
518,0,0,2,6,10
519,1,0,2,5,0
328,0,0,2,6,0
328,0,0,4,25,10
519,3,0,5,0,12
519,0,0,5,11,16
418,0,0,1,32,4
519,0,0,2,1,3
516,4,0,3,17,14
331,1,0,1,25,7
418,0,0,1,5,2
342,0,0,2,28,9
517,0,3,3,33,20
516,1,0,0,10,7
430,3,4,0,0,15
328,2,0,1,43,7
328,0,0,3,23,8
517,1,0,5,2,15
328,0,0,1,3,1
516,0,0,5,9,17
517,0,0,3,22,7
412,1,2,0,14,3
518,1,0,1,25,0
331,0,0,3,28,8
332,1,0,5,22,9
412,1,1,0,3,0
519,0,0,1,5,10
328,0,4,3,8,11
406,0,0,1,22,0
418,0,0,4,0,0
516,0,0,3,5,7
518,3,1,0,20,7
430,2,2,2,0,19
517,1,0,3,7,7
519,0,0,3,6,4
328,1,0,2,39,4
328,0,2,3,7,6
518,2,3,2,18,14
516,0,0,0,0,9
517,2,1,3,0,19
328,0,0,1,10,3
328,0,0,1,56,2
519,2,0,0,7,13
328,0,0,6,6,0
418,0,0,2,46,5
418,0,0,2,32,0
418,1,0,2,12,7
519,1,0,3,30,10
342,1,0,3,8,21
324,1,0,6,6,7
342,0,0,1,14,6
418,0,0,2,5,9
430,3,2,2,7,8
418,0,0,4,18,10
517,3,0,7,19,14
418,0,0,6,0,4
412,3,1,1,13,0
418,0,0,2,60,0
328,1,0,2,23,0
516,1,0,5,49,0
519,0,0,3,3,5
418,0,0,2,50,9
418,2,0,1,21,8
340,4,2,0,6,1
516,1,1,0,12,8
324,1,0,4,25,8
331,0,0,2,38,2
518,1,0,2,21,5
516,0,0,4,28,10
418,0,0,2,9,19
342,0,0,2,21,11
519,0,0,2,9,11
516,0,0,3,42,18
418,1,0,3,62,13
418,2,0,2,11,3
331,2,0,0,14,1
519,0,0,1,2,5
418,0,0,1,55,11
418,0,0,3,26,13
326,3,0,2,11,3
427,3,1,0,12,9
418,0,0,1,30,0
519,0,0,3,19,7
328,0,0,2,27,10
331,0,0,3,20,5
412,3,1,0,5,0
418,0,0,1,25,7
344,3,1,2,1,5
516,1,0,1,1,17
331,1,0,3,4,0
328,0,0,2,26,2
518,1,0,1,2,12
519,2,0,3,0,12
328,1,0,3,43,11
328,0,0,2,25,13
324,1,0,1,6,14
418,1,0,2,25,1
516,1,1,0,8,1
328,0,0,3,14,5
328,1,0,1,21,8
516,2,0,5,10,21
516,2,0,4,19,8
331,1,0,1,13,8
418,1,0,0,0,0
516,2,0,2,18,10
331,0,0,4,30,11
412,1,2,0,6,8
418,0,0,1,29,2
324,0,0,2,26,17
519,3,0,1,12,2
331,0,0,3,35,14
418,0,0,2,22,5
516,1,0,3,5,4
328,0,0,2,10,4
517,0,0,2,12,9
519,0,0,3,10,29
519,0,0,2,15,19
517,1,0,1,21,9
418,1,0,1,32,0
417,5,0,0,6,0
418,1,0,2,16,4
516,1,0,1,27,17
418,1,0,2,23,7
418,1,0,3,27,12
516,0,0,2,3,5
418,0,0,1,38,8
328,1,0,2,13,0
328,0,0,5,18,4
516,1,0,2,32,7
418,0,0,2,35,0
430,3,1,0,15,0
519,3,0,1,6,3
418,1,0,2,36,13
518,0,0,3,26,10
331,1,0,3,21,14
342,3,0,4,4,0
516,2,0,6,17,4
328,0,3,2,6,29
418,3,0,0,0,0
340,1,1,1,8,20
516,0,0,3,20,6
406,0,0,6,8,25
412,5,0,0,10,7
516,1,1,5,0,4
519,1,0,0,18,2
519,2,0,0,7,8
344,5,1,1,11,6
418,1,0,8,12,10
519,1,2,8,7,14
418,0,0,3,28,8
519,2,0,2,14,9
412,0,3,0,3,0
328,1,0,1,7,1
516,1,0,2,12,9
518,0,0,3,10,18
418,0,0,4,25,3
516,0,0,2,11,8
418,0,0,2,11,10
517,1,0,5,10,1
516,3,0,2,1,24
418,0,0,2,22,3
516,1,0,0,4,5
412,3,1,2,8,2
342,3,1,1,55,4
418,2,0,2,11,1
418,0,0,1,21,0
519,1,0,0,6,3
519,2,1,5,0,14
418,0,0,2,13,4
516,0,0,2,21,8
328,0,1,1,21,7
418,0,0,2,19,8
418,0,0,2,8,10
516,1,0,1,14,6
326,1,0,2,44,6
342,2,0,3,20,24
519,1,0,0,12,7
328,0,0,2,11,7
518,2,0,2,27,8
328,0,1,3,7,9
430,3,0,1,8,1
340,2,0,2,5,0
418,0,0,2,54,4
328,2,0,4,9,6
347,0,0,5,11,4
516,2,0,2,10,4
328,1,0,3,32,12
516,0,0,0,8,6
328,0,0,0,5,3
516,3,0,0,17,0
430,2,2,2,9,5
328,0,0,2,22,4
326,0,0,3,4,10
412,0,0,0,15,4
418,0,0,2,54,7
519,0,0,3,17,18
418,1,0,4,28,2
516,1,0,0,4,10
331,2,2,6,0,15
412,4,0,0,7,2
516,2,0,1,10,14
418,0,0,2,11,4
342,0,0,2,12,2
517,1,0,1,18,8
516,0,0,3,10,0
328,0,0,3,17,7
516,1,0,3,29,15
328,1,0,6,3,7
517,0,0,2,9,10
412,2,2,3,6,19
412,2,2,0,9,6
517,2,0,1,3,9
324,2,0,2,13,0
328,0,0,1,24,10
519,0,0,3,11,22
518,2,0,0,0,11
418,0,0,2,30,2
418,0,0,2,23,0
517,1,0,3,38,38
418,0,0,1,12,0
331,1,0,4,52,3
418,3,0,0,11,0
340,4,1,1,10,3
418,1,0,2,29,4
519,2,0,3,5,2
331,0,0,2,15,6
328,0,0,2,42,3
342,1,0,2,37,5
412,2,3,0,0,5
328,0,2,5,0,6
412,1,2,1,2,0
519,1,0,3,3,0
412,2,2,1,5,0
324,0,0,1,21,5
326,2,0,1,13,10
517,4,0,4,0,22
418,1,0,0,25,5
516,1,0,6,17,9
328,2,0,5,6,13
328,0,0,2,42,6
418,1,1,0,22,7
328,0,0,2,14,4
328,3,0,5,35,7
519,2,0,3,11,21
418,2,1,2,23,20
418,1,0,3,9,5
347,2,3,0,2,0
519,0,0,3,11,6
406,0,0,3,3,2
418,0,0,3,23,8
418,0,0,2,15,5
418,2,0,2,30,8
519,2,0,2,3,11
418,1,0,2,19,6
417,3,0,2,4,0
430,3,2,0,4,14
324,0,1,4,8,5
332,0,0,1,10,6
418,0,0,3,18,2
516,0,0,2,12,0
412,3,0,2,13,3
328,0,0,0,20,0
418,1,0,1,34,0
331,0,0,2,20,22
412,4,3,5,7,20
418,0,0,3,22,0
